TIME             CONTAINER_ID  UID    COMM             PID/host        TID/host        RET              EVENT                ARGS
07:50:51:301735  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/gitdm, mode: 511
07:50:51:302017  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/httpserver, mode: 511
07:50:51:302165  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/init, mode: 511
07:50:51:302217  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/init/openrc, mode: 511
07:50:51:303838  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/init/systemd, mode: 511
07:50:51:304020  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/init/sysvinit-debian, mode: 511
07:50:51:305317  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/init/sysvinit-redhat, mode: 511
07:50:51:305440  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/init/upstart, mode: 511
07:50:51:307444  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/nnp-test, mode: 511
07:50:51:307609  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/syntax, mode: 511
07:50:51:307646  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/syntax/nano, mode: 511
07:50:51:307747  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/syntax/textmate, mode: 511
07:50:51:307781  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/syntax/textmate/Docker.tmbundle, mode: 511
07:50:51:307813  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/syntax/textmate/Docker.tmbundle/Preferences, mode: 511
07:50:51:307882  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/syntax/textmate/Docker.tmbundle/Syntaxes, mode: 511
07:50:51:309654  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/syntax/vim, mode: 511
07:50:51:309724  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/syscall-test, mode: 511
07:50:51:310060  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/udev, mode: 511
07:50:51:310130  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /daemon, mode: 511
